coin,date,lean_dir,lean_strength,lean_basis
BTC,2020-08-12,na,na,na
BTC,2020-08-13,na,na,na
BTC,2020-08-14,na,na,na
BTC,2020-08-17,na,na,na
BTC,2020-08-18,na,na,na
BTC,2020-08-19,na,na,na
BTC,2020-08-20,na,na,na
BTC,2020-08-21,na,na,na
BTC,2020-08-24,na,na,na
BTC,2020-08-25,na,na,na
BTC,2020-08-26,na,na,na
BTC,2020-08-27,na,na,na
BTC,2020-08-28,na,na,na
BTC,2020-08-31,na,na,na
BTC,2020-09-01,na,na,na
BTC,2020-09-02,na,na,na
BTC,2020-09-03,na,na,na
BTC,2020-09-04,na,na,na
BTC,2020-09-07,na,na,na
BTC,2020-09-08,na,na,na
BTC,2020-09-09,na,na,na
BTC,2020-09-10,na,na,na
BTC,2020-09-11,na,na,na
BTC,2020-09-14,na,na,na
BTC,2020-09-15,na,na,na
BTC,2020-09-16,na,na,na
BTC,2020-09-17,na,na,na
BTC,2020-09-18,na,na,na
BTC,2020-09-21,na,na,na
BTC,2020-09-22,na,na,na
BTC,2020-09-23,na,na,na
BTC,2020-09-24,na,na,na
BTC,2020-09-25,na,na,na
BTC,2020-09-28,na,na,na
BTC,2020-09-29,na,na,na
BTC,2020-09-30,na,na,na
BTC,2020-10-01,na,na,na
BTC,2020-10-02,na,na,na
BTC,2020-10-05,na,na,na
BTC,2020-10-06,na,na,na
BTC,2020-10-07,na,na,na
BTC,2020-10-08,na,na,na
BTC,2020-10-09,na,na,na
BTC,2020-10-12,na,na,na
BTC,2020-10-13,na,na,na
BTC,2020-10-14,na,na,na
BTC,2020-10-15,na,na,na
BTC,2020-10-16,na,na,na
BTC,2020-10-19,na,na,na
BTC,2020-10-20,na,na,na
BTC,2020-10-21,na,na,na
BTC,2020-10-22,na,na,na
BTC,2020-10-23,na,na,na
BTC,2020-10-26,na,na,na
BTC,2020-10-27,na,na,na
BTC,2020-10-28,na,na,na
BTC,2020-10-29,na,na,na
BTC,2020-10-30,na,na,na
BTC,2020-11-02,na,na,na
BTC,2020-11-03,na,na,na
BTC,2020-11-04,na,na,na
BTC,2020-11-05,na,na,na
BTC,2020-11-06,na,na,na
BTC,2020-11-09,na,na,na
BTC,2020-11-10,na,na,na
BTC,2020-11-11,na,na,na
BTC,2020-11-12,na,na,na
BTC,2020-11-13,na,na,na
BTC,2020-11-16,na,na,na
BTC,2020-11-17,na,na,na
BTC,2020-11-18,na,na,na
BTC,2020-11-19,na,na,na
BTC,2020-11-20,na,na,na
BTC,2020-11-23,na,na,na
BTC,2020-11-24,na,na,na
BTC,2020-11-25,na,na,na
BTC,2020-11-26,na,na,na
BTC,2020-11-27,na,na,na
BTC,2020-11-30,na,na,na
BTC,2020-12-01,na,na,na
BTC,2020-12-02,na,na,na
BTC,2020-12-03,na,na,na
BTC,2020-12-04,na,na,na
BTC,2020-12-07,na,na,na
BTC,2020-12-08,na,na,na
BTC,2020-12-09,na,na,na
BTC,2020-12-10,na,na,na
BTC,2020-12-11,na,na,na
BTC,2020-12-14,na,na,na
BTC,2020-12-15,na,na,na
BTC,2020-12-16,na,na,na
BTC,2020-12-17,na,na,na
BTC,2020-12-18,na,na,na
BTC,2020-12-21,na,na,na
BTC,2020-12-22,na,na,na
BTC,2020-12-23,na,na,na
BTC,2020-12-24,na,na,na
BTC,2020-12-25,na,na,na
BTC,2020-12-28,na,na,na
BTC,2020-12-29,na,na,na
BTC,2020-12-30,na,na,na
BTC,2020-12-31,na,na,na
BTC,2021-01-01,na,na,na
BTC,2021-01-04,na,na,na
BTC,2021-01-05,na,na,na
BTC,2021-01-06,na,na,na
BTC,2021-01-07,na,na,na
BTC,2021-01-08,na,na,na
BTC,2021-01-11,na,na,na
BTC,2021-01-12,na,na,na
BTC,2021-01-13,na,na,na
BTC,2021-01-14,na,na,na
BTC,2021-01-15,na,na,na
BTC,2021-01-18,na,na,na
BTC,2021-01-19,na,na,na
BTC,2021-01-20,na,na,na
BTC,2021-01-21,na,na,na
BTC,2021-01-22,na,na,na
BTC,2021-01-25,na,na,na
BTC,2021-01-26,na,na,na
BTC,2021-01-27,na,na,na
BTC,2021-01-28,na,na,na
BTC,2021-01-29,na,na,na
BTC,2021-02-01,na,na,na
BTC,2021-02-02,na,na,na
BTC,2021-02-03,na,na,na
BTC,2021-02-04,na,na,na
BTC,2021-02-05,na,na,na
BTC,2021-02-08,na,na,na
BTC,2021-02-09,na,na,na
BTC,2021-02-10,na,na,na
BTC,2021-02-11,na,na,na
BTC,2021-02-12,na,na,na
BTC,2021-02-15,na,na,na
BTC,2021-02-16,na,na,na
BTC,2021-02-17,na,na,na
BTC,2021-02-18,na,na,na
BTC,2021-02-19,na,na,na
BTC,2021-02-22,na,na,na
BTC,2021-02-23,na,na,na
BTC,2021-02-24,na,na,na
BTC,2021-02-25,na,na,na
BTC,2021-02-26,na,na,na
BTC,2021-03-01,na,na,na
BTC,2021-03-02,na,na,na
BTC,2021-03-03,na,na,na
BTC,2021-03-04,na,na,na
BTC,2021-03-05,na,na,na
BTC,2021-03-08,na,na,na
BTC,2021-03-09,na,na,na
BTC,2021-03-10,na,na,na
BTC,2021-03-11,na,na,na
BTC,2021-03-12,na,na,na
BTC,2021-03-15,na,na,na
BTC,2021-03-16,na,na,na
BTC,2021-03-17,na,na,na
BTC,2021-03-18,na,na,na
BTC,2021-03-19,na,na,na
BTC,2021-03-22,na,na,na
BTC,2021-03-23,na,na,na
BTC,2021-03-24,na,na,na
BTC,2021-03-25,na,na,na
BTC,2021-03-26,na,na,na
BTC,2021-03-29,na,na,na
BTC,2021-03-30,na,na,na
BTC,2021-03-31,na,na,na
BTC,2021-04-01,na,na,na
BTC,2021-04-02,na,na,na
BTC,2021-04-05,na,na,na
BTC,2021-04-06,na,na,na
BTC,2021-04-07,na,na,na
BTC,2021-04-08,na,na,na
BTC,2021-04-09,na,na,na
BTC,2021-04-12,na,na,na
BTC,2021-04-13,na,na,na
BTC,2021-04-14,na,na,na
BTC,2021-04-15,na,na,na
BTC,2021-04-16,na,na,na
BTC,2021-04-19,na,na,na
BTC,2021-04-20,na,na,na
BTC,2021-04-21,na,na,na
BTC,2021-04-22,na,na,na
BTC,2021-04-23,na,na,na
BTC,2021-04-26,na,na,na
BTC,2021-04-27,na,na,na
BTC,2021-04-28,na,na,na
BTC,2021-04-29,na,na,na
BTC,2021-04-30,na,na,na
BTC,2021-05-03,na,na,na
BTC,2021-05-04,na,na,na
BTC,2021-05-05,na,na,na
BTC,2021-05-06,na,na,na
BTC,2021-05-07,na,na,na
BTC,2021-05-10,na,na,na
BTC,2021-05-11,na,na,na
