coin,date,sc,kind,trig_name,trig,tgt,inv,tag
BTC,2022-01-11,1,SHORT,RND,41750.0,41503.56,41939.820078,lean
BTC,2022-01-11,2,LONG,PDC,41822.49,42248.5,41632.669922,ctx
BTC,2022-01-12,1,SHORT,RND,43250.0,43100.0,43457.542446,lean
BTC,2022-01-12,2,LONG,ONH,43443.6,44254.041415,43236.057554,ctx
BTC,2022-01-13,1,SHORT,RND,43750.0,43422.72,43939.21322,lean
BTC,2022-01-13,2,LONG,PDC,43902.66,44075.42,43713.44678,ctx
BTC,2022-01-14,1,LONG,PDL,42311.22,42560.11,42118.05208,lean
BTC,2022-01-14,2,SHORT,RND,42000.0,41725.95,42193.16792,ctx
BTC,2022-01-17,1,SHORT,RND,42500.0,42300.0,42695.693215,lean
BTC,2022-01-17,2,LONG,PDL,42581.79,43071.66,42386.096785,ctx
BTC,2022-01-18,1,SHORT,RND,41750.0,41540.42,41941.540839,lean
BTC,2022-01-18,2,LONG,PDC,42201.62,42436.66,42010.079161,ctx
BTC,2022-01-19,1,LONG,PDC,42352.12,42560.91,42180.780039,lean
BTC,2022-01-19,2,SHORT,RND,42000.0,41295.403515,42171.339961,ctx
BTC,2022-01-20,1,LONG,ONH,42232.76,42559.13,42054.818461,lean
BTC,2022-01-20,2,SHORT,RND,42000.0,41660.01,42177.941539,ctx
BTC,2022-01-21,1,LONG,RND,38250.0,39050.062352,38064.878067,lean
BTC,2022-01-21,2,SHORT,ONL,37710.0,37322.257648,37895.121933,ctx
BTC,2022-01-24,1,SHORT,ONL,33029.54,33000.0,33195.61221,ctx
BTC,2022-01-25,1,SHORT,RND,36500.0,35735.235455,36667.977402,lean
BTC,2022-01-25,2,LONG,PDC,36660.35,36800.0,36492.372598,ctx
BTC,2022-01-26,1,LONG,RND,37750.0,38248.92,37572.514298,lean
BTC,2022-01-26,2,SHORT,PDH,37545.14,36958.32,37722.625702,ctx
BTC,2022-01-27,1,SHORT,PDL,36234.63,35888.584684,36401.696853,lean
BTC,2022-01-27,2,LONG,RND,36750.0,36809.34,36582.933147,ctx
BTC,2022-01-28,1,SHORT,RND,36250.0,36155.01,36429.944816,ctx
BTC,2022-01-31,1,SHORT,RND,37000.0,36632.61,37171.934255,lean
BTC,2022-01-31,2,LONG,PDL,37351.63,37881.76,37179.695745,ctx
BTC,2022-02-01,1,SHORT,PDC,38466.9,38000.0,38647.556266,lean
BTC,2022-02-01,2,LONG,PDH,38744.0,38750.0,38563.343734,ctx
BTC,2022-02-02,1,SHORT,PDC,38694.59,38196.42,38864.180482,lean
BTC,2022-02-02,2,LONG,RND,38750.0,38889.0,38580.409518,ctx
BTC,2022-02-03,1,SHORT,PDL,36586.95,36250.0,36758.652871,lean
BTC,2022-02-03,2,LONG,RND,36750.0,36896.36,36578.297129,ctx
BTC,2022-02-04,1,LONG,RND,38000.0,38236.08,37820.817686,lean
BTC,2022-02-04,2,SHORT,PDH,37387.0,37311.61,37566.182314,ctx
BTC,2022-02-07,1,SHORT,PDC,42380.87,41763.802956,42568.611509,lean
BTC,2022-02-07,2,LONG,PDH,42656.0,42750.0,42468.258491,ctx
BTC,2022-02-08,1,LONG,RND,43500.0,43839.99,43313.918228,lean
BTC,2022-02-08,2,SHORT,ONL,43105.3,42590.538395,43291.381772,ctx
BTC,2022-02-09,1,SHORT,PDC,44042.99,43297.687779,44223.819762,lean
BTC,2022-02-09,2,LONG,RND,44250.0,44349.23,44069.170238,ctx
BTC,2022-02-10,1,SHORT,PDH,44799.0,44750.0,45012.092028,lean
BTC,2022-02-10,2,LONG,ONH,45177.96,45802.159465,44964.867972,ctx
BTC,2022-02-11,1,LONG,ONH,44047.61,44445.321509,43860.206105,lean
BTC,2022-02-11,2,SHORT,RND,43500.0,43495.44,43687.403895,ctx
BTC,2022-02-14,1,LONG,ONH,42591.49,42760.0,42410.245665,lean
BTC,2022-02-14,2,SHORT,RND,42500.0,42053.66,42681.244335,ctx
BTC,2022-02-15,1,LONG,RND,44250.0,44425.85,44078.910692,ctx
BTC,2022-02-16,1,SHORT,RND,44000.0,43673.92,44187.428482,lean
BTC,2022-02-16,2,LONG,PDC,44544.86,44751.4,44357.431518,ctx
BTC,2022-02-17,1,LONG,RND,43250.0,43307.0,43048.971733,lean
BTC,2022-02-17,2,SHORT,ONL,42900.0,42275.118085,43101.028267,ctx
BTC,2022-02-18,1,LONG,RND,40500.0,40515.7,40323.078645,lean
BTC,2022-02-18,2,SHORT,ONL,40082.09,40073.21,40259.011355,ctx
BTC,2022-02-21,1,LONG,PDL,38000.0,38305.141937,37836.038871,lean
BTC,2022-02-21,2,SHORT,RND,37500.0,37348.49,37663.961129,ctx
BTC,2022-02-22,1,LONG,RND,37750.0,37865.0,37572.506949,lean
BTC,2022-02-22,2,SHORT,PDC,37008.16,36809.679095,37185.653051,ctx
BTC,2022-02-23,1,LONG,ONH,39125.47,39785.299929,38960.703587,lean
BTC,2022-02-23,2,SHORT,RND,39000.0,38429.0,39164.766413,ctx
