coin,date,sc,state_final,armed_t,failed_t,hit_t
BTC,2022-01-11,1,hit,1.6419114e+18,,1.6419123e+18
BTC,2022-01-11,2,failed,1.6419141e+18,1.6419159e+18,
BTC,2022-01-12,1,pending,,,
BTC,2022-01-12,2,armed,1.6419969e+18,,
BTC,2022-01-13,1,hit,1.6420878e+18,,1.6420887e+18
BTC,2022-01-13,2,hit,1.6420833e+18,,1.6420842e+18
BTC,2022-01-14,1,hit,1.6421697e+18,,1.6421724e+18
BTC,2022-01-14,2,pending,,,
BTC,2022-01-17,1,hit,1.6424352e+18,,1.6424361e+18
BTC,2022-01-17,2,failed,1.6424289e+18,1.6424361e+18,
BTC,2022-01-18,1,hit,1.6425153e+18,,1.6425162e+18
BTC,2022-01-18,2,pending,,,
BTC,2022-01-19,1,failed,1.6426035e+18,1.6426071e+18,
BTC,2022-01-19,2,failed,1.6426071e+18,1.6426125e+18,
BTC,2022-01-20,1,hit,1.6426881e+18,,1.6426899e+18
BTC,2022-01-20,2,pending,,,
BTC,2022-01-21,1,armed,1.6427745e+18,,
BTC,2022-01-21,2,pending,,,
BTC,2022-01-24,1,pending,,,
BTC,2022-01-25,1,failed,1.6431228e+18,1.6431255e+18,
BTC,2022-01-25,2,failed,1.6431219e+18,1.6431228e+18,
BTC,2022-01-26,1,hit,1.6432065e+18,,1.6432074e+18
BTC,2022-01-26,2,pending,,,
BTC,2022-01-27,1,armed,1.6433055e+18,,
BTC,2022-01-27,2,hit,1.6432929e+18,,1.6432938e+18
BTC,2022-01-28,1,pending,,,
BTC,2022-01-31,1,pending,,,
BTC,2022-01-31,2,hit,1.6436394e+18,,1.6436457e+18
BTC,2022-02-01,1,failed,1.6437285e+18,1.6437321e+18,
BTC,2022-02-01,2,hit,1.6437249e+18,,1.6437258e+18
BTC,2022-02-02,1,hit,1.6438113e+18,,1.6438131e+18
BTC,2022-02-02,2,pending,,,
BTC,2022-02-03,1,failed,1.6438986e+18,1.6439022e+18,
BTC,2022-02-03,2,hit,1.6439022e+18,,1.643904e+18
BTC,2022-02-04,1,hit,1.6439877e+18,,1.6439886e+18
BTC,2022-02-04,2,pending,,,
BTC,2022-02-07,1,pending,,,
BTC,2022-02-07,2,hit,1.6442433e+18,,1.6442442e+18
BTC,2022-02-08,1,failed,1.6443297e+18,1.6443333e+18,
BTC,2022-02-08,2,failed,1.6443333e+18,1.644336e+18,
BTC,2022-02-09,1,armed,1.6444161e+18,,
BTC,2022-02-09,2,pending,,,
BTC,2022-02-10,1,hit,1.6445025e+18,,1.6445034e+18
