coin,date,yd_arch,yd_eff
BTC,2017-08-18,CHOP,0.083
BTC,2017-08-19,CHOP,-0.408
BTC,2017-08-20,CHOP,0.094
BTC,2017-08-21,CHOP,-0.301
BTC,2017-08-22,CHOP,-0.256
BTC,2017-08-23,CHOP,0.034
BTC,2017-08-24,CHOP,0.294
BTC,2017-08-25,UP,0.59
BTC,2017-08-26,CHOP,-0.171
BTC,2017-08-27,CHOP,0.367
BTC,2017-08-28,CHOP,-0.197
BTC,2017-08-29,CHOP,0.279
BTC,2017-08-30,UP,0.749
BTC,2017-08-31,CHOP,-0.041
BTC,2017-09-01,UP,0.892
BTC,2017-09-02,UP,0.629
BTC,2017-09-03,CHOP,-0.497
BTC,2017-09-04,CHOP,0.001
BTC,2017-09-05,DN,-0.737
BTC,2017-09-06,CHOP,0.294
BTC,2017-09-07,UP,0.773
BTC,2017-09-08,CHOP,0.205
BTC,2017-09-09,DN,-0.579
BTC,2017-09-10,CHOP,-0.087
BTC,2017-09-11,CHOP,-0.266
BTC,2017-09-12,CHOP,0.233
BTC,2017-09-13,CHOP,-0.127
BTC,2017-09-14,DN,-0.53
BTC,2017-09-15,DN,-0.912
BTC,2017-09-16,CHOP,0.493
BTC,2017-09-17,CHOP,0.085
BTC,2017-09-18,CHOP,0.059
BTC,2017-09-19,UP,0.796
BTC,2017-09-20,DN,-0.579
BTC,2017-09-21,CHOP,-0.044
BTC,2017-09-22,DN,-0.816
BTC,2017-09-23,CHOP,0.012
BTC,2017-09-24,UP,0.671
BTC,2017-09-25,DN,-0.715
BTC,2017-09-26,UP,0.799
BTC,2017-09-27,CHOP,-0.36
BTC,2017-09-28,UP,0.824
BTC,2017-09-29,CHOP,-0.088
BTC,2017-09-30,CHOP,-0.014
BTC,2017-10-01,UP,0.841
BTC,2017-10-02,CHOP,-0.0
BTC,2017-10-03,CHOP,-0.099
BTC,2017-10-04,CHOP,-0.244
BTC,2017-10-05,CHOP,-0.46
BTC,2017-10-06,CHOP,0.342
BTC,2017-10-07,CHOP,0.4
BTC,2017-10-08,CHOP,0.323
BTC,2017-10-09,UP,0.923
BTC,2017-10-10,CHOP,0.432
BTC,2017-10-11,CHOP,-0.014
BTC,2017-10-12,CHOP,0.224
BTC,2017-10-13,UP,0.966
BTC,2017-10-14,CHOP,0.45
BTC,2017-10-15,UP,0.687
BTC,2017-10-16,CHOP,-0.278
BTC,2017-10-17,CHOP,0.246
BTC,2017-10-18,DN,-0.619
BTC,2017-10-19,CHOP,-0.149
BTC,2017-10-20,UP,0.778
BTC,2017-10-21,UP,0.639
BTC,2017-10-22,CHOP,0.035
BTC,2017-10-23,CHOP,-0.157
BTC,2017-10-24,CHOP,-0.129
BTC,2017-10-25,DN,-0.91
BTC,2017-10-26,CHOP,0.438
BTC,2017-10-27,UP,0.661
BTC,2017-10-28,CHOP,-0.281
BTC,2017-10-29,CHOP,-0.223
BTC,2017-10-30,UP,0.849
BTC,2017-10-31,CHOP,-0.057
BTC,2017-11-01,UP,0.86
BTC,2017-11-02,UP,0.666
BTC,2017-11-03,CHOP,0.433
BTC,2017-11-04,CHOP,0.247
BTC,2017-11-05,CHOP,0.417
BTC,2017-11-06,CHOP,-0.039
BTC,2017-11-07,DN,-0.778
BTC,2017-11-08,CHOP,0.277
BTC,2017-11-09,CHOP,0.208
BTC,2017-11-10,DN,-0.592
BTC,2017-11-11,DN,-0.558
BTC,2017-11-12,CHOP,-0.37
BTC,2017-11-13,CHOP,-0.333
BTC,2017-11-14,UP,0.628
BTC,2017-11-15,CHOP,0.292
BTC,2017-11-16,UP,0.92
BTC,2017-11-17,UP,0.723
BTC,2017-11-18,CHOP,-0.33
BTC,2017-11-19,CHOP,0.206
BTC,2017-11-20,UP,0.584
BTC,2017-11-21,CHOP,0.423
BTC,2017-11-22,CHOP,-0.155
BTC,2017-11-23,CHOP,0.496
BTC,2017-11-24,DN,-0.819
BTC,2017-11-25,CHOP,0.227
BTC,2017-11-26,UP,0.87
BTC,2017-11-27,UP,0.574
BTC,2017-11-28,UP,0.963
BTC,2017-11-29,UP,0.67
BTC,2017-11-30,CHOP,-0.075
BTC,2017-12-01,CHOP,0.074
BTC,2017-12-02,UP,0.623
BTC,2017-12-03,CHOP,0.202
BTC,2017-12-04,CHOP,0.198
BTC,2017-12-05,UP,0.518
BTC,2017-12-06,CHOP,0.318
BTC,2017-12-07,UP,0.949
BTC,2017-12-08,UP,0.849
BTC,2017-12-09,CHOP,-0.225
BTC,2017-12-10,CHOP,-0.328
BTC,2017-12-11,CHOP,0.07
BTC,2017-12-12,UP,0.639
BTC,2017-12-13,CHOP,-0.216
BTC,2017-12-14,CHOP,-0.169
BTC,2017-12-15,CHOP,0.306
BTC,2017-12-16,UP,0.712
BTC,2017-12-17,UP,0.675
BTC,2017-12-18,CHOP,-0.202
BTC,2017-12-19,CHOP,-0.002
BTC,2017-12-20,DN,-0.589
BTC,2017-12-21,CHOP,-0.274
BTC,2017-12-22,CHOP,-0.3
BTC,2017-12-23,CHOP,-0.462
BTC,2017-12-24,CHOP,-0.013
BTC,2017-12-25,CHOP,0.092
BTC,2017-12-26,CHOP,0.125
BTC,2017-12-27,UP,0.79
BTC,2017-12-28,CHOP,-0.109
BTC,2017-12-29,DN,-0.535
BTC,2017-12-30,CHOP,0.159
BTC,2017-12-31,DN,-0.732
BTC,2018-01-01,UP,0.722
BTC,2018-01-02,CHOP,-0.314
BTC,2018-01-03,UP,0.5
BTC,2018-01-04,CHOP,0.198
BTC,2018-01-05,CHOP,0.103
BTC,2018-01-06,UP,0.738
BTC,2018-01-07,CHOP,0.097
BTC,2018-01-08,DN,-0.617
BTC,2018-01-09,CHOP,-0.375
BTC,2018-01-10,CHOP,-0.338
BTC,2018-01-11,CHOP,0.277
BTC,2018-01-12,CHOP,-0.477
BTC,2018-01-13,CHOP,0.311
BTC,2018-01-14,UP,0.526
BTC,2018-01-15,CHOP,-0.415
BTC,2018-01-16,CHOP,0.056
BTC,2018-01-17,DN,-0.577
BTC,2018-01-18,CHOP,0.034
BTC,2018-01-19,CHOP,-0.007
BTC,2018-01-20,CHOP,0.359
BTC,2018-01-21,UP,0.786
BTC,2018-01-22,DN,-0.692
BTC,2018-01-23,CHOP,-0.38
BTC,2018-01-24,CHOP,0.026
BTC,2018-01-25,UP,0.515
BTC,2018-01-26,CHOP,-0.207
BTC,2018-01-27,CHOP,-0.072
BTC,2018-01-28,CHOP,0.498
BTC,2018-01-29,CHOP,0.455
BTC,2018-01-30,DN,-0.753
BTC,2018-01-31,DN,-0.719
BTC,2018-02-01,CHOP,0.076
BTC,2018-02-02,DN,-0.67
BTC,2018-02-03,CHOP,-0.283
BTC,2018-02-04,CHOP,0.263
BTC,2018-02-05,DN,-0.706
BTC,2018-02-06,DN,-0.705
BTC,2018-02-07,CHOP,0.379
BTC,2018-02-08,CHOP,-0.042
BTC,2018-02-09,UP,0.68
BTC,2018-02-10,UP,0.916
BTC,2018-02-11,CHOP,-0.131
BTC,2018-02-12,DN,-0.572
BTC,2018-02-13,UP,0.897
BTC,2018-02-14,DN,-0.606
BTC,2018-02-15,UP,0.956
BTC,2018-02-16,UP,0.599
BTC,2018-02-17,CHOP,0.242
BTC,2018-02-18,UP,0.862
BTC,2018-02-19,DN,-0.55
BTC,2018-02-20,UP,0.794
BTC,2018-02-21,CHOP,0.079
BTC,2018-02-22,DN,-0.686
BTC,2018-02-23,DN,-0.501
BTC,2018-02-24,CHOP,0.365
BTC,2018-02-25,CHOP,-0.381
BTC,2018-02-26,CHOP,-0.183
BTC,2018-02-27,UP,0.671
BTC,2018-02-28,CHOP,0.331
BTC,2018-03-01,CHOP,-0.323
BTC,2018-03-02,UP,0.724
BTC,2018-03-03,CHOP,0.269
BTC,2018-03-04,UP,0.804
BTC,2018-03-05,CHOP,0.098
BTC,2018-03-06,CHOP,-0.207
BTC,2018-03-07,DN,-0.821
BTC,2018-03-08,DN,-0.534
BTC,2018-03-09,DN,-0.614
BTC,2018-03-10,CHOP,-0.037
BTC,2018-03-11,DN,-0.559
BTC,2018-03-12,UP,0.592
BTC,2018-03-13,CHOP,-0.363
BTC,2018-03-14,CHOP,0.029
BTC,2018-03-15,DN,-0.685
BTC,2018-03-16,CHOP,0.073
BTC,2018-03-17,CHOP,0.027
BTC,2018-03-18,DN,-0.695
BTC,2018-03-19,CHOP,0.368
BTC,2018-03-20,UP,0.666
BTC,2018-03-21,CHOP,0.409
BTC,2018-03-22,CHOP,-0.059
BTC,2018-03-23,CHOP,-0.255
BTC,2018-03-24,CHOP,0.278
BTC,2018-03-25,DN,-0.69
BTC,2018-03-26,CHOP,-0.201
BTC,2018-03-27,CHOP,-0.491
BTC,2018-03-28,DN,-0.697
BTC,2018-03-29,CHOP,0.404
BTC,2018-03-30,DN,-0.831
BTC,2018-03-31,CHOP,-0.361
BTC,2018-04-01,CHOP,0.187
BTC,2018-04-02,CHOP,-0.176
BTC,2018-04-03,UP,0.675
BTC,2018-04-04,UP,0.67
BTC,2018-04-05,DN,-0.845
BTC,2018-04-06,CHOP,-0.076
BTC,2018-04-07,CHOP,-0.482
BTC,2018-04-08,UP,0.609
BTC,2018-04-09,UP,0.533
BTC,2018-04-10,CHOP,-0.398
BTC,2018-04-11,CHOP,0.266
BTC,2018-04-12,UP,0.563
BTC,2018-04-13,UP,0.764
BTC,2018-04-14,CHOP,-0.091
BTC,2018-04-15,CHOP,0.323
BTC,2018-04-16,UP,0.815
BTC,2018-04-17,DN,-0.526
BTC,2018-04-18,DN,-0.517
BTC,2018-04-19,UP,0.766
BTC,2018-04-20,CHOP,0.482
BTC,2018-04-21,UP,0.775
BTC,2018-04-22,CHOP,0.134
BTC,2018-04-23,CHOP,-0.438
BTC,2018-04-24,UP,0.618
BTC,2018-04-25,UP,0.848
BTC,2018-04-26,DN,-0.727
BTC,2018-04-27,UP,0.604
BTC,2018-04-28,DN,-0.695
BTC,2018-04-29,UP,0.776
BTC,2018-04-30,CHOP,0.175
BTC,2018-05-01,DN,-0.513
BTC,2018-05-02,CHOP,-0.389
BTC,2018-05-03,UP,0.592
BTC,2018-05-04,UP,0.743
BTC,2018-05-05,CHOP,-0.116
BTC,2018-05-06,CHOP,0.444
BTC,2018-05-07,CHOP,-0.371
BTC,2018-05-08,DN,-0.582
BTC,2018-05-09,CHOP,-0.427
BTC,2018-05-10,CHOP,0.311
BTC,2018-05-11,DN,-0.724
BTC,2018-05-12,DN,-0.891
BTC,2018-05-13,CHOP,0.121
BTC,2018-05-14,CHOP,0.439
BTC,2018-05-15,CHOP,-0.027
BTC,2018-05-16,CHOP,-0.439
BTC,2018-05-17,CHOP,-0.326
BTC,2018-05-18,DN,-0.595
BTC,2018-05-19,UP,0.556
BTC,2018-05-20,CHOP,-0.015
BTC,2018-05-21,UP,0.659
BTC,2018-05-22,DN,-0.502
BTC,2018-05-23,DN,-0.881
BTC,2018-05-24,DN,-0.783
BTC,2018-05-25,CHOP,0.158
BTC,2018-05-26,CHOP,-0.357
BTC,2018-05-27,CHOP,-0.384
BTC,2018-05-28,CHOP,0.03
BTC,2018-05-29,DN,-0.633
BTC,2018-05-30,UP,0.715
BTC,2018-05-31,CHOP,-0.298
BTC,2018-06-01,CHOP,0.277
BTC,2018-06-02,CHOP,0.142
BTC,2018-06-03,CHOP,0.457
BTC,2018-06-04,CHOP,0.415
BTC,2018-06-05,DN,-0.724
BTC,2018-06-06,CHOP,0.429
BTC,2018-06-07,CHOP,0.139
BTC,2018-06-08,CHOP,0.223
BTC,2018-06-09,DN,-0.508
BTC,2018-06-10,CHOP,-0.477
BTC,2018-06-11,DN,-0.836
BTC,2018-06-12,CHOP,0.343
BTC,2018-06-13,DN,-0.751
BTC,2018-06-14,CHOP,-0.466
BTC,2018-06-15,UP,0.746
BTC,2018-06-16,DN,-0.821
BTC,2018-06-17,CHOP,0.435
BTC,2018-06-18,CHOP,-0.197
BTC,2018-06-19,UP,0.648
BTC,2018-06-20,CHOP,0.158
BTC,2018-06-21,CHOP,0.081
BTC,2018-06-22,CHOP,-0.362
BTC,2018-06-23,DN,-0.825
BTC,2018-06-24,CHOP,0.414
BTC,2018-06-25,CHOP,-0.026
BTC,2018-06-26,CHOP,0.396
BTC,2018-06-27,DN,-0.763
BTC,2018-06-28,CHOP,0.309
BTC,2018-06-29,DN,-0.811
BTC,2018-06-30,UP,0.667
BTC,2018-07-01,UP,0.56
BTC,2018-07-02,CHOP,-0.18
BTC,2018-07-03,UP,0.616
BTC,2018-07-04,CHOP,-0.469
BTC,2018-07-05,CHOP,0.221
BTC,2018-07-06,CHOP,-0.218
BTC,2018-07-07,CHOP,0.36
BTC,2018-07-08,CHOP,0.476
BTC,2018-07-09,CHOP,-0.368
BTC,2018-07-10,CHOP,-0.263
BTC,2018-07-11,DN,-0.875
BTC,2018-07-12,UP,0.639
BTC,2018-07-13,CHOP,-0.411
BTC,2018-07-14,CHOP,-0.153
BTC,2018-07-15,CHOP,0.238
