asset,bar_close_UTC,RSI14_close,state,div_forming
BTC,2024-05-01 16:00:00+00:00,25.91,Bear,none
BTC,2024-11-16 16:00:00+00:00,57.78,Bull,bearDiv
BTC,2025-06-03 16:00:00+00:00,58.18,Bear,none
BTC,2025-12-19 16:00:00+00:00,52.2,Bear,none
BTC,2026-07-06 16:00:00+00:00,61.67,Bull,none
ETH,2024-05-01 16:00:00+00:00,31.81,Bear,bullDiv
ETH,2024-11-16 16:00:00+00:00,50.71,Bull,bearDiv
ETH,2025-06-03 16:00:00+00:00,60.32,Chop,none
ETH,2025-12-19 16:00:00+00:00,52.21,Bear,none
ETH,2026-07-06 16:00:00+00:00,64.44,Bull,none
SOL,2024-05-01 16:00:00+00:00,33.29,Bear,none
SOL,2024-11-16 16:00:00+00:00,52.19,Bull,bearDiv
SOL,2025-06-03 16:00:00+00:00,57.66,Bear,none
SOL,2025-12-19 16:00:00+00:00,48.48,Bear,bullDiv
SOL,2026-07-06 16:00:00+00:00,57.64,Bull,bearDiv
XRP,2024-05-01 16:00:00+00:00,42.01,Chop,none
XRP,2024-11-16 16:00:00+00:00,86.97,Bull,none
XRP,2025-06-03 16:00:00+00:00,64.06,Chop,none
XRP,2025-12-19 16:00:00+00:00,46.07,Bear,bullDiv
XRP,2026-07-06 16:00:00+00:00,58.12,Bull,none
